test,steady_state,tail_mean,max_ec,min_ec
zero,0.0,0.0,1.1959487608251806,0.0
low,1.0847628512828709,1.0847628512828709,1.1964314511560037,1.0631055920631785
medium,1.164889381946608,1.164889381946608,1.196824147788662,1.117741242101132
high,1.448624312204269,1.448624312204269,1.448624312204269,1.1578555521238898
