start_ec,final_ec,delta,min_ec,max_ec
-100.0,6.642991210971938,106.64299121097194,0.0,8.309866746003854
-50.0,1.248691450042616,51.248691450042614,0.0,2.360431537426764
-10.0,0.0,10.0,0.0,0.7309365279965814
-1.0,0.0,1.0,0.0,0.22538198773629212
0.0,0.0,0.0,0.0,0.24415239584238108
0.25,0.0,-0.25,0.0,0.5144382996275177
0.5,0.0,-0.5,0.0,0.7368835931871208
