dose_mass,baseline_drain,uptake,starvation,depletion,raw_influx,memory_influx,assimilation_pool,restoring,ec_velocity,shock_effect,mixing_effect,overshoot_effect,penalty_effect,clip_effect,delta_ec
0.08333333333333333,0.0020849341443102873,0.002304400896342949,0.0,0.004389335040653236,0.0011344726887503745,7.708542943295973e-05,0.00021808046127300013,0.0,-0.004171254579380236,0.0,0.0,0.0,0.0,0.0,-0.004171254579380168
0.08333333333333333,0.0020720320596104534,0.00228218006423775,0.0,0.004354212123848204,0.0015262910782265335,0.00014905714666734935,0.000480388658724759,6.256881869070251e-05,-0.007064833218349326,0.0,0.0,0.0,0.0,0.0,-0.007064833218349387
0.08333333333333333,0.002059484029154164,0.002254958163329973,0.0,0.004314442192484137,0.0019275160972947645,0.00021669880302256395,0.0007798773822114215,0.00016854131696594332,-0.008876593403619246,0.0,0.0,0.0,0.0,0.0,-0.008876593403619237
0.08333333333333333,0.0020472798977160906,0.0022248575165034613,0.0,0.0042721374142195515,0.0021562413816717213,0.0002804910700759965,0.0010781112947279548,0.0003016902180202319,-0.009816078756294377,0.0,0.0,0.0,0.0,0.0,-0.009816078756294422
0.08333333333333333,0.002035409807546798,0.0021935554398124467,0.0,0.0042289652473592445,0.002255230942592898,0.00034071105609035436,0.0013513208214399083,0.0004489313993646482,-0.010085254456464302,0.0,0.0,0.0,0.0,0.0,-0.010085254456464243
0.08333333333333333,0.002023864190529835,0.002162312984763976,0.0,0.004186177175293812,0.0022576203718512973,0.0003975135129489928,0.001586007172844777,0.0006002102162116119,-0.009866458262279578,0.0,0.0,0.0,0.0,0.0,-0.00986645826227961
0.08333333333333333,0.0020126337604059403,0.0021320244374151815,0.0,0.004144658197821121,0.002259736525136092,0.0004509908312766469,0.0017884568058870102,0.0007482070901458059,-0.009303831746366377,0.0,0.0,0.0,0.0,0.0,-0.009303831746366287
0.08333333333333333,0.0020017095050819007,0.00210329886180068,0.0,0.00410500836688258,0.002261090768589272,0.0005012094534987729,0.0019637486208031966,0.0008877645663413002,-0.008510483941903856,0.0,0.0,0.0,0.0,0.0,-0.008510483941903901
0.08333333333333333,0.00199108267903913,0.002076525402619746,0.0,0.004067608081658876,0.002261382781739048,0.0005482316927838804,0.0021160044744727483,0.0010154218254698588,-0.007574359256401277,0.0,0.0,0.0,0.0,0.0,-0.007574359256401264
0.08333333333333333,0.0019807447958547675,0.002051925457645815,0.0,0.004032670253500582,0.0022604509808999153,0.0005921276655107028,0.002248587825421565,0.0011290372143158778,-0.006563045433756135,0.0,0.0,0.0,0.0,0.0,-0.006563045433756187
0.08333333333333333,0.0019706876208460734,0.0020295942350300462,0.0,0.00400028185587612,0.002258233920363438,0.0006329807844448294,0.0023642606637111715,0.0012274828958222204,-0.005527713734672513,0.0,0.0,0.0,0.0,0.0,-0.005527713734672535
0.08333333333333333,0.001960903163847149,0.002009533730657601,0.0,0.00397043689450475,0.0022547407208677113,0.0006708892442558068,0.0024653071379653942,0.0013103986018423086,-0.004506347867741607,0.0,0.0,0.0,0.0,0.0,-0.0045063478677416224
0.08333333333333333,0.0019513836721253587,0.001991678773730398,0.0,0.003943062445855757,0.0022500287201954895,0.0007059651592287832,0.0025536307514279926,0.001377993819858433,-0.003526389211407784,0.0,0.0,0.0,0.0,0.0,-0.003526389211407688
0.08333333333333333,0.0019421216234434633,0.0019759174766186905,0.0,0.003918039100062154,0.0022441867847735578,0.0007383324506219477,0.002630830678542145,0.0014308896580295482,-0.002606902348388532,0.0,0.0,0.0,0.0,0.0,-0.0026069023483885623
0.08333333333333333,0.001933109719272162,0.0019621071730199224,0.0,0.0038952168922920844,0.0022373229893399163,0.0007681241847941156,0.002698261647748685,0.0014699931932553767,-0.0017603458830310775,0.0,0.0,0.0,0.0,0.0,-0.0017603458830310892
0.08333333333333333,0.0019243408781566371,0.0019500867247283313,0.0,0.0038744276028849682,0.002229555625773989,0.0007954797919704705,0.0027570809263479244,0.001496398381500843,-0.0009940180838004411,0.0,0.0,0.0,0.0,0.0,-0.0009940180838003965
0.08333333333333333,0.0019158082292397216,0.0019396859123428257,0.0,0.003855494141582547,0.0022210067248213997,0.0008205424149049437,0.00280828520475604,0.001511308652757849,-0.0003112343894330022,0.0,0.0,0.0,0.0,0.0,-0.0003112343894329239
0.08333333333333333,0.0019075051059434015,0.0019307324914183378,0.0,0.0038382375973617395,0.0022117974603285163,0.000843456519771723,0.002852739584317996,0.0015159771685993428,0.00028771633179785745,0.0,0.0,0.0,0.0,0.0,0.00028771633179780487
0.08333333333333333,0.0018994250398096022,0.001923057386822911,0.0,0.0038224824266325135,0.0022020449556517654,0.0008643658282274151,0.0028912004002390095,0.0015116614236223758,0.0008047981360312005,0.0,0.0,0.0,0.0,0.0,0.0008047981360312928
0.08333333333333333,0.0018915617545005661,0.0019164984095492775,0.0,0.0038080601640498434,0.002191860130017789,0.000883411585203074,0.0029243332369357435,0.0014995894515819064,0.0012436050705721428,0.0,0.0,0.0,0.0,0.0,0.0012436050705721957
0.08333333333333333,0.0018839091599584705,0.0019109028080700247,0.0,0.0037948119680284954,0.002181346313764892,0.0009007311514463505,0.0029527271980253336,0.0014809353755233234,0.001608862560566433,0.0,0.0,0.0,0.0,0.0,0.0016088625605663598
0.08333333333333333,0.0018764613467234948,0.0019061289074188633,0.0,0.003782590254142358,0.00217059843063742,0.0009164568962124162,0.0029769062612137443,0.001456802437114828,0.0019060312414280322,0.0,0.0,0.0,0.0,0.0,0.0019060312414280745
0.08333333333333333,0.0018692125804090287,0.0019020470410398885,0.0,0.0037712596214489174,0.0021597025972261113,0.0009307153591972038,0.0029973383663514674,0.001428211968493407,0.002140995081709822,0.0,0.0,0.0,0.0,0.0,0.002140995081709729
0.08333333333333333,0.0018621572963323791,0.0018985399410732543,0.0,0.0037606972374056337,0.0021487360281837267,0.0009436266488386675,0.0030144427422722346,0.001396097042267761,0.0023198187108680233,0.0,0.0,0.0,0.0,0.0,0.002319818710867949
0.08333333333333333,0.0018552900942989952,0.0018955027205275032,0.0,0.003750792814826498,0.0021377671642286255,0.0009553040446025357,0.0030285958662528414,0.0013612997616047418,0.0024485614075081433,0.0,0.0,0.0,0.0,0.0,0.002448561407508043
0.08333333333333333,0.0018486057335379078,0.0018928425544226342,0.0,0.003741448287960542,0.002126855960754169,0.0009658537726676917,0.003040136362343265,0.0013245713404921211,0.0025331373127311955,0.0,0.0,0.0,0.0,0.0,0.002533137312731304
0.08333333333333333,0.0018420991277859036,0.0018904781454171472,0.0,0.003732577273203051,0.002116054290089672,0.0009753749268507279,0.003049369076170749,0.0012865742808011516,0.0025792131876991825,0.0,0.0,0.0,0.0,0.0,0.0025792131876991586
0.08333333333333333,0.0018357653405177107,0.0018883390417966238,0.0,0.0037241043823143345,0.0021054064216309266,0.000983959509269887,0.0030565685100221607,0.001247886082985664,0.0025921364970988526,0.0,0.0,0.0,0.0,0.0,0.0025921364970988847
0.08333333333333333,0.0018295995803193452,0.0018863648612998016,0.0,0.003715964441619147,0.0020949495523114674,0.0009916925679333151,0.003061981759862233,0.0012090040355291808,0.0025768878215093717,0.0,0.0,0.0,0.0,0.0,0.0025768878215093327
0.08333333333333333,0.0018235971964015837,0.0018845044625166961,0.0,0.00370810165891828,0.002084714366053388,0.0009986524110359924,0.0030658310629631197,0.0011703507182065408,0.0025380526230286905,0.0,0.0,0.0,0.0,0.0,0.0025380526230287526
0.08333333333333333,0.0018177536742504945,0.0018827150960420238,0.0,0.0037004687702925183,0.0020747256055202445,0.0010049108802119486,0.0030683160390615532,0.0011322799288611095,0.002479808243592523,0.0,0.0,0.0,0.0,0.0,0.0024798082435926183
0.08333333333333333,0.0018120646314118243,0.0018809615598193606,0.0,0.003693026191231185,0.002065002643121465,0.0010105336672911727,0.0030696156879047483,0.0010950828052072204,0.002405922731882952,0.0,0.0,0.0,0.0,0.0,0.0024059227318828924
0.08333333333333333,0.0018065258134059912,0.0018792153768492049,0.0,0.0036857411902551963,0.002055560041086542,0.001015580661246564,0.003069890190501853,0.0010589939642289769,0.002319762695344336,0.0,0.0,0.0,0.0,0.0,0.002319762695344396
0.08333333333333333,0.001801133089770419,0.0018774540083951582,0.0,0.0036785870981655773,0.0020464080927440577,0.0010201063139841109,0.0030692825494225903,0.0010241975237988109,0.0022243078774244057,0.0,0.0,0.0,0.0,0.0,0.0022243078774244474
0.08333333333333333,0.0017958824502259108,0.0018756601117901782,0.0,0.003671542562016089,0.002037553339045393,0.0010241600154305831,0.0030679200943322,0.0009908329056374442,0.002122170582344592,0.0,0.0,0.0,0.0,0.0,0.0021221705823446513
0.08333333333333333,0.0017907700009637268,0.001873820848740393,0.0,0.00366459084970412,0.0020289990559603857,0.0010277864700097433,0.0030659158720270276,0.0009590003469022745,0.0020156184234539636,0.0,0.0,0.0,0.0,0.0,0.00201561842345388
0.08333333333333333,0.0017857919610500934,0.0018719272474992635,0.0,0.003657719208549357,0.0020207457097062187,0.0010310260680734728,0.0030633699350625073,0.0009287660705504663,0.0019065991673577083,0.0,0.0,0.0,0.0,0.0,0.001906599167357692
0.08333333333333333,0.0017809446589448419,0.0018699736203172147,0.0,0.0036509182792620566,0.002012791377894573,0.0010339152471720689,0.003060370539263252,0.000900167083040101,0.0017967666935803086,0.0,0.0,0.0,0.0,0.0,0.0017967666935803095
0.08333333333333333,0.0017762245291309065,0.001867957036059715,0.0,0.0036441815651906215,0.002005132135626135,0.0010364868392131652,0.0030569952576669406,0.0008732155826363963,0.001687507296105356,0.0,0.0,0.0,0.0,0.0,0.0016875072961053394
0.08333333333333333,0.0017716281088514833,0.0018658768467460709,0.0,0.003637504955597554,0.001997762406348285,0.0010387704005774248,0.003053312016533519,0.0008479029731948162,0.001579965725092959,0.0,0.0,0.0,0.0,0.0,0.0015799657250930021
0.08333333333333333,0.0017671520349516285,0.0018637342659219506,0.0,0.0036308863008735794,0.0019906752779385536,0.0010407925231386336,0.0030493800577513796,0.0008242034873184212,0.0014750705097687296,0.0,0.0,0.0,0.0,0.0,0.0014750705097688055
0.08333333333333333,0.0017627930408212018,0.0018615319961832798,0.0,0.0036243250370044814,0.001983862784998329,0.0010425771248847848,0.003045250831135092,0.0008020774296718891,0.0013735582214221087,0.0,0.0,0.0,0.0,0.0,0.0013735582214220443
0.08333333333333333,0.0017585479534360337,0.0018592739027695599,0.0,0.0036178218562055936,0.0019773161587512563,0.0010441457194646148,0.0030409688196096326,0.0007814740563505584,0.0012759964324638422,0.0,0.0,0.0,0.0,0.0,0.0012759964324637885
